FIPS_CODE,Weekly_Wage,Total_Wages,Establishment_Count,Employment_Level
C4622,225.68231939163499,19086949004.0,31,367
20153,127.79691876750701,159198964.0,2,13
21085,147.86699346405229,1259332083.0,7,56
21083,184.5514240506329,2150187907.0,7,68
51710,459.027324120603,49207534933.0,31,642
46015,189.12451737451738,324901317.0,4,23
48247,169.56310096153845,472946091.0,3,25
29025,165.70347394540943,290303787.0,4,24
21067,468.37795389048989,59124446636.0,52,808
05115,239.44224489795917,5998287319.0,13,148
05000,568.51969242310577,391438605708.0,294,3770
21185,248.45251396648044,3548719165.0,12,88
34009,309.57643814026795,10444199428.0,27,247
35000,549.32173601147781,292785628888.0,179,2569
28155,139.40258215962442,330484698.0,3,28
46093,224.93922018348624,1623539252.0,8,52
29009,177.83904867256638,3245971370.0,8,104
CS380,767.5,9044287440.0,14738,226609
45085,241.91316199376948,8680996540.0,13,196
24019,189.88901345291481,2473805356.0,7,78
C3678,306.59343236903834,29036518907.0,24,502
21069,134.41680814940577,503841360.0,4,28
29089,116.22417153996102,353530719.0,4,26
27003,405.82977075588599,41217957479.0,38,562
05049,115.50979262672811,298746728.0,4,26
51119,140.60973451327433,496263733.0,5,29
C2284,612.75,629587439.0,1150,NA
40123,207.02676056338029,3590250365.0,8,99
C2062,624.25,981937627.0,2245,NA
29007,174.70669291338584,1852543867.0,6,65
21045,130.99910071942446,578074193.0,4,36
18065,183.24742268041237,2396300241.0,8,90
54067,226.89025157232703,1955829749.0,8,68
C4254,232.70981873111782,56067432817.0,73,930
C2186,674.5,311534113.0,697,NA
29107,179.12709966405376,1477156945.0,8,59
20091,607.45428802588992,139788406975.0,101,1469
CS146,758.5,3983090318.0,5696,100978
21161,160.47944297082228,1809499904.0,6,68
C4638,659.0,1055440359.0,3976,30801
33007,218.22648648648649,2671215395.0,10,81
C1502,635.25,366262249.0,800,11084
46033,106.2594501718213,413191180.0,5,24
22073,344.27036813518407,18950115389.0,25,320
05013,106.97153846153846,957685803.0,3,59
01023,155.52342047930284,717357040.0,5,38
29147,173.5033422459893,1384569829.0,6,61
39000,775.68223411602207,2067628263232.0,901,15995
48157,512.72347266881025,66961103696.0,50,709
37093,157.99811463046757,2047356855.0,5,85
13249,85.035140562248998,146656339.0,2,15
C3990,385.59356287425152,49059374973.0,74,713
78020,151.86800486618006,248284123.0,6,17
27009,191.96640625000001,3943314263.0,8,121
27045,153.58446404341927,1034883613.0,7,49
13263,87.587890625,113875996.0,3,15
48161,166.93280780780782,1612535515.0,5,57
C3130,595.5,1180991514.0,2019,38140
21103,140.62773359840955,510874758.0,5,31
C2694,566.75,257792138.0,571,8750
21011,125.47565320665083,237901227.0,3,20
28095,180.13664987405542,2031021803.0,7,74
C2382,769.5,711193201.0,1825,17766
31115,109.58333333333333,7590864.0,1,3
53039,191.66212871287129,1820649182.0,9,55
22095,177.75124131082424,4471588866.0,7,90
05035,213.69418483904465,3714581135.0,12,122
